Pres,Temp,Height
0.02,203,79238.92461
0.031,210.3,73441.77675
0.047,215.6,70667.53682
0.068,220.2,68024.91167
0.097,224.6,65535.81498
0.136,229.9,63202.33719
0.186,236.2,60995.25322
0.25,241.7,58913.01311
0.33,247.2,56952.71066
0.429,253.1,55066.43961
0.55,257.2,53235.24343
0.695,258.5,51465.15885
0.869,258.6,49754.98259
1.074,260.7,48101.22723
1.314,263.1,46502.52635
1.593,264.2,44962.69368
1.913,262.9,43488.99981
2.28,260.5,42092.84516
2.695,258.6,40786.84362
3.164,255.1,39569.67976
3.69,247.2,38425.69073
4.276,239.9,37337.33742
4.926,238.4,36297.39004
5.644,238.4,35311.60998
6.433,236.5,34383.35211
7.297,232.3,33504.64226
8.24,229.6,32666.74145
9.263,228.8,31866.08067
10.372,228.4,31098.17318
11.569,227.7,30357.13521
12.856,226.2,29639.6119
14.238,225.2,28944.63451
15.716,224.9,28271.90733
17.294,224.4,27621.39976
18.975,223.1,26995.42657
20.761,221.8,26397.33242
22.654,220.7,25826.25055
24.658,220.2,25277.45968
26.773,219.6,24746.85035
29.004,218.8,24232.05682
31.351,218,23731.67188
33.817,217.1,23245.4202
36.405,215.3,22773.33238
39.115,212.8,22315.32684
41.949,210.3,21872.39271
44.908,208.7,21447.01809
47.991,207.6,21040.75296
51.199,205.7,20650.47697
54.53,203.1,20272.45797
57.983,201.1,19905.90059
61.561,200.2,19551.5594
65.269,199.7,19209.33244
69.119,199,18877.476
73.119,197.6,18554.797
77.281,195.3,18239.6843
81.618,193.1,17930.09845
86.145,191.9,17624.98917
90.878,191.7,17323.35711
